country_name,region_name,refresh_date,week,rank,score,percent_gain,term,category,latitude,longitude
canada,alberta,10-04-2023,26-03-2023,18,21,70,edmonton oilers,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,26-03-2023,18,36,70,edmonton oilers,sports,49.09996035,-116.516697
canada,manitoba,10-04-2023,26-03-2023,18,21,70,edmonton oilers,sports,50.15002545,-96.88332178
canada,new brunswick,10-04-2023,26-03-2023,18,8,70,edmonton oilers,sports,45.26704185,-66.07667505
canada,newfoundland and labrador,10-04-2023,26-03-2023,18,24,70,edmonton oilers,sports,49.17440025,-57.42691878
canada,northwest territories,10-04-2023,26-03-2023,18,22,70,edmonton oilers,sports,62.40005292,-110.7333291
canada,ontario,10-04-2023,26-03-2023,18,23,70,edmonton oilers,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,26-03-2023,18,41,70,edmonton oilers,sports,50.93331097,-102.7999891
canada,ontario,10-04-2023,26-03-2023,9,29,250,epl,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,26-03-2023,4,15,250,lotto max winning numbers,entertainment,53.01669802,-112.8166386
canada,manitoba,10-04-2023,26-03-2023,4,52,250,lotto max winning numbers,entertainment,50.15002545,-96.88332178
canada,nova scotia,10-04-2023,26-03-2023,4,10,250,lotto max winning numbers,entertainment,45.58327578,-62.63331934
canada,british columbia,10-04-2023,26-03-2023,21,17,40,mlb scores,sports,49.09996035,-116.516697
canada,new brunswick,10-04-2023,26-03-2023,21,10,40,mlb scores,sports,45.26704185,-66.07667505
canada,newfoundland and labrador,10-04-2023,26-03-2023,21,13,40,mlb scores,sports,49.17440025,-57.42691878
canada,prince edward island,10-04-2023,26-03-2023,21,13,40,mlb scores,sports,46.24928164,-63.13132512
canada,british columbia,10-04-2023,26-03-2023,20,85,50,nba standings,sports,49.09996035,-116.516697
canada,new brunswick,10-04-2023,26-03-2023,20,61,50,nba standings,sports,45.26704185,-66.07667505
canada,nova scotia,10-04-2023,26-03-2023,17,32,110,oilers,sports,45.58327578,-62.63331934
canada,ontario,10-04-2023,26-03-2023,17,21,110,oilers,sports,44.56664532,-80.84998519
canada,ontario,10-04-2023,26-03-2023,12,10,150,oilers game,sports,44.56664532,-80.84998519
canada,saskatchewan,10-04-2023,26-03-2023,12,21,150,oilers game,sports,50.93331097,-102.7999891
canada,british columbia,10-04-2023,26-03-2023,5,27,250,premier league,sports,49.09996035,-116.516697
canada,nova scotia,10-04-2023,26-03-2023,5,35,250,premier league,sports,45.58327578,-62.63331934
canada,alberta,10-04-2023,26-03-2023,22,2,40,raptors,sports,53.01669802,-112.8166386
canada,british columbia,10-04-2023,26-03-2023,22,2,40,raptors,sports,49.09996035,-116.516697
canada,manitoba,10-04-2023,26-03-2023,22,3,40,raptors,sports,50.15002545,-96.88332178
canada,new brunswick,10-04-2023,26-03-2023,22,4,40,raptors,sports,45.26704185,-66.07667505
canada,ontario,10-04-2023,26-03-2023,22,5,40,raptors,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,26-03-2023,6,8,250,real madrid,sports,53.01669802,-112.8166386
canada,alberta,10-04-2023,26-03-2023,23,27,40,toronto blue jays,sports,53.01669802,-112.8166386
canada,ontario,10-04-2023,26-03-2023,23,32,40,toronto blue jays,sports,44.56664532,-80.84998519
canada,alberta,10-04-2023,26-03-2023,15,21,130,ufc,sports,53.01669802,-112.8166386
canada,nova scotia,10-04-2023,26-03-2023,15,23,130,ufc,sports,45.58327578,-62.63331934
canada,northwest territories,10-04-2023,26-03-2023,15,47,130,ufc,sports,62.40005292,-110.7333291
canada,manitoba,10-04-2023,26-03-2023,10,28,180,ufc 287,sports,50.15002545,-96.88332178
canada,manitoba,10-04-2023,26-03-2023,3,18,600,ufc tonight,sports,50.15002545,-96.88332178
canada,new brunswick,10-04-2023,26-03-2023,19,29,50,blue jays,sports,45.26704185,-66.07667505
canada,nova scotia,10-04-2023,26-03-2023,19,30,50,blue jays,sports,45.58327578,-62.63331934
canada,northwest territories,10-04-2023,26-03-2023,19,37,50,blue jays,sports,62.40005292,-110.7333291
canada,saskatchewan,10-04-2023,26-03-2023,19,31,50,blue jays,sports,50.93331097,-102.7999891
canada,alberta,10-04-2023,26-03-2023,1,30,800,blue jays vs angels,sports,53.01669802,-112.8166386
canada,prince edward island,10-04-2023,26-03-2023,18,45,70,edmonton oilers,sports,46.24928164,-63.13132512
canada,british columbia,10-04-2023,26-03-2023,11,21,160,lakers,sports,49.09996035,-116.516697
canada,manitoba,10-04-2023,26-03-2023,11,13,160,lakers,sports,50.15002545,-96.88332178
canada,new brunswick,10-04-2023,26-03-2023,11,7,160,lakers,sports,45.26704185,-66.07667505
canada,nova scotia,10-04-2023,26-03-2023,11,30,160,lakers,sports,45.58327578,-62.63331934
canada,ontario,10-04-2023,26-03-2023,11,16,160,lakers,sports,44.56664532,-80.84998519
